Date,Close/Last,Volume,Open,High,Low
04/13/2022,$1022.37,18373740,$981.075,$1026.24,$973.097
04/12/2022,$986.95,21992030,$997.64,$1021.1921,$976.6001
04/11/2022,$975.93,19785740,$980.4,$1008.4681,$974.64
04/08/2022,$1025.49,18337900,$1043.21,$1048.44,$1022.435
04/07/2022,$1057.26,26482350,$1052.39,$1076.59,$1021.5401
04/06/2022,$1045.76,29782850,$1073.47,$1079,$1027.7
04/05/2022,$1091.26,26691670,$1136.3,$1152.87,$1087.3
04/04/2022,$1145.45,27392570,$1089.38,$1149.91,$1072.53
04/01/2022,$1084.59,18087740,$1081.15,$1094.75,$1066.64
03/31/2022,$1077.6,16330920,$1094.57,$1103.1399,$1076.641
03/30/2022,$1093.99,19955000,$1091.17,$1113.95,$1084
03/29/2022,$1099.57,24538270,$1107.99,$1114.77,$1073.11
03/28/2022,$1091.84,34168690,$1065.1,$1097.8799,$1053.6
03/25/2022,$1010.64,20677180,$1008,$1021.7999,$997.3201
03/24/2022,$1013.92,22973630,$1009.73,$1024.49,$988.8
03/23/2022,$999.11,40225380,$979.94,$1040.7,$976.4
03/22/2022,$993.98,35289520,$930,$997.86,$921.75
03/21/2022,$921.16,27327220,$914.98,$942.85,$907.09
03/18/2022,$905.39,33471400,$874.49,$907.85,$867.39
03/17/2022,$871.6,22194320,$830.99,$875,$825.7178
03/16/2022,$840.23,28009610,$809,$842,$802.2601
03/15/2022,$801.89,22280380,$775.27,$805.57,$756.57
03/14/2022,$766.37,23717420,$780.61,$800.7,$756.04
